MET (s),Altitude (m),Apoapsis (m),Periapsis (m),Velocity (m/s),G-Force (g),Thrust (N),Mass (kg),Liquid Fuel,Oxidizer,Situation
0.1799999999711872,76.48107416694984,76.79850367456675,-598435.3485719374,2.4692122784214283,1.340212345123291,614619.25,44012.75390625,2845.83935546875,3477.77294921875,flying
1.3599999997823033,81.9477391296532,84.5555561252404,-598435.5548151258,7.133412636376458,1.4295716285705566,614653.75,43788.17578125,2826.01611328125,3454.01953125,flying
2.3599999996222323,91.27506328222807,97.98340803920291,-598435.6871719648,11.440853235383736,1.4359897375106812,614716.4375,43572.23828125,2806.581298828125,3430.26611328125,flying
3.37999999945896,105.25941146991681,118.2131927725859,-598435.7840082283,15.89779038874275,1.442260980606079,614811.4375,43351.9765625,2786.758056640625,3406.03759765625,flying
4.399999999295687,123.82186396210454,145.1861284818733,-598435.8525943415,20.415788473093063,1.448206901550293,614938.625,43131.71875,2766.934814453125,3381.80908203125,flying
5.399999999135616,146.5231734866975,178.3098348423373,-598435.8999379979,24.90145115214926,1.4537193775177002,615095.375,42915.78125,2747.500244140625,3358.055908203125,flying
6.379999998978747,173.7372877622256,218.1711466369452,-598435.9330482355,29.439823919818757,1.4589118957519531,615285.0625,42699.83984375,2728.065673828125,3334.302490234375,flying
7.399999998815474,205.5153353449423,264.8856239489978,-598435.955998276,34.02786385294608,1.4637771844863892,615508.6875,42483.8984375,2708.631103515625,3310.549072265625,flying
8.439999998649,243.4575548679568,320.8538793408079,-598435.9717763815,38.84871359197014,1.468472957611084,615778.5625,42259.3203125,2688.4189453125,3285.845458984375,flying
9.43999999848893,284.691648406093,381.8728621422779,-598435.9800892168,43.52823217299873,1.4726426601409912,616075.4375,42043.3828125,2668.984375,3262.092041015625,flying
10.439999998328858,330.62589411996305,450.0458149628248,-598435.983163679,48.24779173109555,1.4764777421951294,616410.1875,41827.44140625,2649.5498046875,3238.3388671875,flying
11.459999998165586,382.3607461604988,527.0376802765531,-598435.9816344852,53.09976535141942,1.480048418045044,616792.3125,41607.18359375,2629.7265625,3214.1103515625,flying
12.479999998002313,439.06316027475987,611.6373986381805,-598435.9757202336,57.986968822403625,1.48328697681427,617217.0,41386.92578125,2609.9033203125,3189.8818359375,flying
13.459999997845443,499.50920450896956,702.0323799771722,-598435.9648192296,62.809565079802695,1.486149549484253,617676.1875,41170.984375,2590.46875,3166.12841796875,flying
14.49999999767897,566.1475920811063,801.9011279335245,-598435.9484064352,67.75758913890064,1.4887686967849731,618190.0,40950.7265625,2570.6455078125,3141.89990234375,flying
15.4799999975221,634.939441604889,905.1982642171206,-598435.9279912355,72.53659513662244,1.491018533706665,618728.375,40739.10546875,2551.599609375,3118.62158203125,flying
16.499999997358827,711.525244106655,1020.4052371656289,-598435.8995435466,77.53423227203454,1.4930974245071411,619336.75,40518.84765625,2531.7763671875,3094.39306640625,flying
17.499999997198756,791.5690503253136,1141.0158149906201,-598435.8664886232,82.45506296283186,1.4949058294296265,619982.5,40302.90625,2512.341796875,3070.639892578125,flying
18.539999997032282,880.0450620810734,1274.5417171411682,-598435.8248675348,87.59292273847456,1.4965752363204956,620707.0,40078.328125,2492.129638671875,3045.936279296875,flying
19.499999996878614,966.4663906630594,1405.1544560954208,-598435.7806999014,92.35228068603965,1.4979503154754639,621425.375,39871.02734375,2473.472412109375,3023.133056640625,flying
20.499999996718543,1065.2540196677437,1554.6605903934687,-598435.7237546567,97.52495529549735,1.4992914199829102,622258.3125,39646.44921875,2453.260498046875,2998.429443359375,flying
21.53999999655207,1165.3230257561663,1706.3078059647232,-598435.6583177062,102.51403653278754,1.500468134880066,623114.125,39430.51171875,2433.825927734375,2974.676025390625,flying
22.539999996391998,1270.3882881619502,1865.7321107335156,-598435.5803456262,107.51773517511164,1.5016204118728638,624024.875,39214.5703125,2414.391357421875,2950.9228515625,flying
23.559999996228726,1384.9723559637787,2039.8437702655792,-598435.4860782813,112.73815196174834,1.5029425621032715,625031.1875,38989.9921875,2394.179443359375,2926.21923828125,flying
24.559999996068655,1500.278282305575,2215.3196696643718,-598435.3821021264,117.77536517206741,1.5043774843215942,626056.4375,38774.0546875,2374.744873046875,2902.4658203125,flying
25.59999999590218,1623.0892451114487,2402.526754847495,-598435.2621971318,122.93304333291194,1.5060275793075562,627161.0,38553.79296875,2354.92138671875,2878.2373046875,flying
26.57999999574531,1746.0496768255252,2590.299206149066,-598435.1339549278,127.90933245599865,1.5078181028366089,628278.4375,38342.171875,2335.87548828125,2854.958984375,flying
27.619999995578837,1881.8843968202127,2798.145872294903,-598434.98004249,133.21515033172383,1.5099594593048096,629524.75,38117.59375,2315.66357421875,2830.255615234375,flying
28.599999995421967,2014.9448489607312,3002.1918454192346,-598434.820317193,138.24080563571204,1.5122215747833252,630756.1875,37905.97265625,2296.61767578125,2806.977294921875,flying
29.639999995255494,2161.553727130522,3227.550578256487,-598434.6338065333,143.60458073554747,1.5148999691009521,632123.25,37681.3984375,2276.40576171875,2782.273681640625,flying
30.639999995095422,2307.798642879119,3452.7906631325604,-598433.6385612515,148.78429631233686,1.515483021736145,633495.8125,37465.45703125,2256.97119140625,2758.520263671875,flying
31.63999999493535,2462.291953304899,3690.393869445892,-598427.1616879363,154.03568906363,1.5117981433868408,634953.375,37245.19921875,2237.14794921875,2734.291748046875,flying
32.65999999477208,2618.941597073106,3930.981615382363,-598414.9019243207,159.15463104893507,1.5101594924926758,636437.3125,37029.2578125,2217.71337890625,2710.538330078125,flying
33.65999999461201,2783.9933321023127,4184.4459970266325,-598397.3536980611,164.36837227459756,1.5106289386749268,638005.25,36809.0,2197.89013671875,2686.31005859375,flying
34.699999994445534,2954.364635822596,4446.344483963796,-598375.5740718896,169.59466597697065,1.5126680135726929,639626.0,36588.7421875,2178.066650390625,2662.08154296875,flying
35.71999999428226,3130.0687288363697,4716.945666634361,-598350.1344599194,174.84919757933207,1.5158257484436035,641297.75,36368.484375,2158.243408203125,2637.85302734375,flying
36.71999999412219,3307.52806471067,4990.928277507541,-598321.9606913964,180.03967707401293,1.5197325944900513,642984.25,36152.54296875,2138.808837890625,2614.099609375,flying
37.73999999395892,3493.8617567472393,5279.469658112619,-598290.083874749,185.38296287312158,1.5243653059005737,644750.375,35932.28515625,2118.985595703125,2589.87109375,flying
38.759999993795645,3685.6223027965752,5577.41125443799,-598255.0656305462,190.78323713508433,1.5295429229736328,646560.625,35712.02734375,2099.162353515625,2565.642822265625,flying
39.759999993635574,3878.933911788161,5878.853655039333,-598217.6515328906,196.1394410706916,1.53510320186615,648375.625,35496.0859375,2079.7275390625,2541.889404296875,flying
40.7599999934755,4077.549291855539,6189.76275702822,-598177.1060105602,201.562691181175,1.5411076545715332,650227.75,35280.14453125,2060.29296875,2518.135986328125,flying
41.77999999331223,4285.65112020215,6516.871410803171,-598132.4034030191,207.16916427392877,1.5476738214492798,652152.0,35059.88671875,2040.4698486328125,2493.907470703125,flying
42.79999999314896,4499.3759820932755,6854.300813132082,-598084.1694039219,212.85674979196415,1.5546789169311523,654108.5,34839.62890625,2020.646484375,2469.67919921875,flying
43.819999992985686,4718.7816282243,7202.303434628528,-598032.226161598,218.63107018673938,1.5621252059936523,656094.0625,34619.3671875,2000.8232421875,2445.45068359375,flying
44.819999992825615,4939.458581545507,7554.002183838165,-597977.5087964588,224.38185909434415,1.56986403465271,658065.25,34403.4296875,1981.388671875,2421.697265625,flying
45.83999999266234,5170.2966164206155,7923.739828132559,-597917.613936793,230.34489663089207,1.578221082687378,660097.375,34183.171875,1961.5654296875,2397.46875,flying
46.83999999250227,5402.307226976845,8297.300302840536,-597854.6641896091,236.2921353886524,1.586888313293457,662107.0,33967.23046875,1942.130859375,2373.71533203125,flying
47.859999992339,5644.839606595924,8689.935290726135,-597785.8903660876,242.46767240177223,1.5962371826171875,664170.6875,33746.97265625,1922.3076171875,2349.48681640625,flying
48.85999999217893,5888.452827617177,9086.569139719126,-597713.7266987803,248.63568765891517,1.6059343814849854,666203.625,33531.03125,1902.8729248046875,2325.7333984375,flying
49.879999992015655,6142.96692944027,9503.421401412576,-597634.9974072843,255.04979261744222,1.6164019107818604,668283.0625,33310.7734375,1883.0496826171875,2301.505126953125,flying
50.879999991855584,6398.478605792159,9924.55067821499,-597552.6427397381,261.465828887129,1.627227544784546,670323.5625,33094.83203125,1863.614990234375,2277.751708984375,flying
51.89999999169231,6665.294106473215,10367.263103797333,-597463.1932277792,268.1485780485263,1.6389391422271729,672402.375,32874.57421875,1843.791748046875,2253.523193359375,flying
52.89999999153224,6938.444522784441,10822.512906689313,-597368.030920983,274.9371535826039,1.6434073448181152,674474.75,32654.31640625,1823.968505859375,2229.294921875,flying
53.91999999136897,7212.364198199124,11276.53228111309,-597269.5142780788,281.5408711752996,1.6306533813476562,676495.25,32438.375,1804.533935546875,2205.54150390625,flying
54.9199999912089,7497.831031158799,11743.627677182318,-597163.9683550633,288.10981041387095,1.6099493503570557,678538.625,32218.1171875,1784.710693359375,2181.31298828125,flying
55.939999991045624,7783.430681736092,12205.505090122926,-597055.213489051,294.41076153177,1.5957192182540894,680518.9375,32002.177734375,1765.276123046875,2157.5595703125,flying
56.93999999088555,8074.556740428554,12674.17716145108,-596940.4093558596,300.68675668657005,1.594538688659668,682471.375,31786.236328125,1745.8414306640625,2133.80615234375,flying
57.97999999071908,8383.172051687958,13173.495488930377,-596813.3606271038,307.34521149573885,1.609334111213684,684468.1875,31561.66015625,1725.62939453125,2109.1025390625,flying
58.97999999055901,8685.663114394876,13669.736272928189,-596682.5796927868,314.0150104469215,1.636493444442749,686352.75,31345.720703125,1706.19482421875,2085.34912109375,flying
59.999999990395736,9000.247978365282,14195.68556922255,-596539.4128385539,321.1778611476599,1.6709797382354736,688233.9375,31125.4609375,1686.37158203125,2061.120849609375,flying
60.999999990235665,9314.872161546722,14732.124905898236,-596388.8818791384,328.57055559615293,1.703637957572937,690021.25,30909.521484375,1666.93701171875,2037.367431640625,flying
62.01999999007239,9642.380909968051,15299.380979270907,-596224.8393099549,336.43018268445104,1.7304441928863525,691782.625,30689.26171875,1647.11376953125,2013.138916015625,flying
63.03999998990912,9976.766451842152,15887.473046622821,-596049.5946108835,344.60764771354434,1.7591397762298584,693480.875,30469.00390625,1627.29052734375,1988.910400390625,flying
64.03999998974905,10311.49716609763,16485.816457119887,-595865.9709153732,352.95818830120857,1.7894552946090698,695084.125,30253.064453125,1607.8558349609375,1965.1571044921875,flying
65.05999998958578,10660.209718409576,17119.910417829524,-595665.6102138213,361.8376420388977,1.822454571723938,696656.625,30032.8046875,1588.0325927734375,1940.9287109375,flying
66.0799999894225,11016.547203284455,17779.698134719743,-595450.9701840993,371.104150255263,1.8574917316436768,698166.8125,29812.546875,1568.209228515625,1916.7001953125,flying
67.05999998926563,11366.355211896473,18439.448117462685,-595230.224066307,380.3909556628488,1.8929375410079956,699558.6875,29600.92578125,1549.163330078125,1893.421875,flying
68.07999998910236,11738.475304366788,19154.75753008155,-594984.1751284875,390.47411196123596,1.931477427482605,700945.875,29380.666015625,1529.340087890625,1869.193359375,flying
69.09999998893909,12119.09268518968,19901.06496518734,-594720.2507720008,400.9987809591532,1.9714417457580566,702270.875,29160.408203125,1509.516845703125,1844.9649658203125,flying
70.07999998878222,12493.080475462833,20648.989890113473,-594448.6069248498,411.5388368964905,2.010892152786255,703486.25,28948.7890625,1490.470947265625,1821.6866455078125,flying
71.11999998861575,12899.17914849741,21477.60196172446,-594139.5865447264,423.193030131527,2.053609609603882,704714.625,28724.208984375,1470.259033203125,1796.983154296875,flying
72.13999998845247,13307.00946782215,22327.196252595633,-593814.25502663,435.1047791018748,2.096895694732666,705858.5,28503.951171875,1450.4356689453125,1772.754638671875,flying
73.1399999882924,13716.339091372327,23197.802570247906,-593472.3184074953,447.26088307569995,2.140700101852417,706923.3125,28288.01171875,1431.0010986328125,1749.001220703125,flying
74.15999998812913,14143.877147758962,24126.520137705724,-593098.4022674757,460.1608322126121,2.186567544937134,707953.375,28067.75390625,1411.1778564453125,1724.7728271484375,flying
75.17999998796586,14581.881408090121,25098.63959955459,-592697.3170061063,473.5766551550781,2.2332794666290283,708926.5625,27847.494140625,1391.3544921875,1700.5443115234375,flying
76.15999998780899,15012.892945742002,26075.62986008462,-592284.6634619648,486.9581267910908,2.278571128845215,709808.125,27635.873046875,1372.30859375,1677.2659912109375,flying
77.19999998764251,15481.558124113479,27160.70290510601,-591815.6216377172,501.6876227695827,2.3266055583953857,710687.0625,27411.294921875,1352.0966796875,1652.5625,flying
78.19999998748244,15943.468865527539,28252.894524396164,-591332.5911112168,516.3609159018606,2.3722846508026123,711478.625,27195.35546875,1332.662109375,1628.80908203125,flying
79.21999998731917,16426.331778505817,29418.154238154413,-590805.71695708,531.8352331863622,2.417936086654663,712233.9375,26975.09765625,1312.8387451171875,1604.5806884765625,flying
80.1999999871623,16911.51774330309,30612.464088815497,-590253.9126404359,547.4920574340548,2.4613211154937744,712926.375,26759.15625,1293.4041748046875,1580.8272705078125,flying
