time_step,altitude,vertical_speed,fuel,throttle,reward
99,162.59282,7.394627,0.22158071,0.2979755,0.22183883
100,163.47533,7.3268967,0.22115873,0.29710752,0.21980691
101,164.34952,7.256383,0.22073802,0.29618087,0.21769151
102,165.21504,7.1828556,0.22031869,0.29519132,0.21548568
103,166.04974,6.559759,0.22010937,0.29413417,0.1967928
104,166.77614,5.920594,0.21990632,0.28635982,0.17761783
105,167.4783,5.7964973,0.21950677,0.27707517,0.17389493
106,168.16371,5.6516113,0.21911536,0.27491087,0.16954836
107,168.83119,5.4985247,0.21872726,0.27240878,0.16495577
108,169.47966,5.3363323,0.2183428,0.2697633,0.16008997
109,170.108,5.1644816,0.2179622,0.2669706,0.15493447
110,170.71503,4.98242,0.21758567,0.26403493,0.1494726
111,171.29945,4.7896137,0.21721339,0.26096284,0.14368841
112,171.85678,4.425399,0.21690649,0.25776333,0.13276199
113,172.32462,3.7245517,0.21672776,0.2520457,0.11173656
114,172.75452,3.474643,0.21637765,0.24172877,0.104239285
115,173.15227,3.1991704,0.21603736,0.23813534,0.09597512
116,173.51602,2.9102027,0.21570235,0.23430125,0.08730608
117,173.84413,2.6071558,0.21537283,0.23040396,0.078214675
118,174.13489,2.2897747,0.21504888,0.22644289,0.06869324
119,174.3853,1.9204416,0.21474478,0.22242239,0.057613254
120,174.58124,1.4419873,0.21448217,0.21789949,0.04325962
121,174.7185,0.9447584,0.21422678,0.2122588,0.028342756
122,174.79466,0.4265927,0.21397942,0.20659213,0.012797783
123,174.80838,-0.075430006,0.213726,0.20078929,-0.0015085988
124,174.76947,-0.5052247,0.21344528,0.19509867,-0.010104493
125,174.67755,-0.95496345,0.2131722,0.19000971,-0.019099267
126,174.5303,-1.4246699,0.21290675,0.18431221,-0.028493395
127,174.32515,-1.9169195,0.21264994,0.17785414,-0.03833839
128,174.05919,-2.4346263,0.21240285,0.17060672,-0.048692524
129,173.7292,-2.980217,0.21216638,0.1628592,-0.05960434
130,173.33174,-3.5543652,0.21194081,0.15525791,-0.0710873
131,172.86359,-4.148902,0.21172303,0.14853953,-0.08297804
132,172.32893,-4.678373,0.2114807,0.14318876,-0.09356745
133,171.73323,-5.1868057,0.21123053,0.13963425,-0.10373611
134,171.0757,-5.7064924,0.21098468,0.13705625,-0.11412985
135,170.35516,-6.2345276,0.2107421,0.13504983,-0.12469055
136,169.57079,-6.7690063,0.21050203,0.13348617,-0.13538012
137,168.72192,-7.30846,0.21026397,0.13225962,-0.1461692
138,167.80803,-7.8517675,0.21002744,0.13129072,-0.15703535
139,166.8276,-8.429361,0.20980397,0.13052079,-0.16858722
140,165.77332,-9.040632,0.20959333,0.12987638,-0.18081264
141,164.65524,-9.1398325,0.20918955,0.12934408,-0.18279664
142,163.67404,-8.186225,0.20838878,0.1292506,-0.1637245
143,162.70912,-7.2309327,0.20758803,0.13004734,-0.14461865
144,161.96826,-5.7249207,0.20658052,0.13125119,-0.114498414
145,161.39774,-4.756165,0.20577595,0.13462552,-0.0951233
146,160.87866,-4.3226604,0.20517313,0.13855912,-0.08645321
147,160.31476,-4.965082,0.20497486,0.14106847,-0.09930164
148,159.77113,-4.5282235,0.2043713,0.13746992,-0.09056447
149,159.1823,-5.1747866,0.20417474,0.13971826,-0.10349573
150,158.51605,-5.822986,0.20397888,0.13649231,-0.11645972
151,157.86903,-5.3934526,0.20337874,0.13418506,-0.10786905
152,157.28441,-4.4166784,0.20257382,0.13557738,-0.08833357
153,156.93703,-1.7998908,0.20115562,0.14022338,-0.035997815
154,156.8517,-0.22714522,0.20012967,0.17025565,-0.0045429044
155,157.00775,2.3993976,0.19871145,0.19308868,0.07198193
156,157.43048,4.0512686,0.19765864,0.22707929,0.121538065
157,158.10062,6.6876616,0.19624044,0.25166383,0.20062988
158,159.04254,8.4276285,0.19515745,0.2909143,0.2528289
159,160.19441,10.189352,0.19406751,0.30560756,0.30568057
160,161.60208,12.839399,0.1926493,0.31135386,0.385182
161,163.3281,15.494473,0.19123112,0.31044012,0.46483424
162,165.31963,16.81393,0.1903084,0.3012584,0.5044179
163,167.33525,16.781464,0.18988599,0.29442078,0.50344396
164,169.34587,16.739702,0.18946727,0.29608664,0.50219107
165,171.35194,16.704945,0.18904617,0.29773867,0.50114834
166,173.35431,16.676928,0.18862283,0.29926798,0.50030786
167,175.35378,16.655203,0.1881974,0.30068082,0.4996561
168,177.35106,16.63934,0.18777005,0.30198509,0.49918023
169,179.34682,16.628942,0.18734095,0.30318874,0.4988683
170,181.34169,16.623644,0.18691017,0.3042993,0.49870932
171,183.33626,16.623104,0.1864779,0.30532414,0.49869317
172,185.33109,16.627008,0.1860442,0.30627006,0.4988103
173,187.32668,16.635069,0.18560922,0.30714354,0.49905205
174,189.3235,16.647024,0.18517308,0.30795053,0.49941072
175,190.65562,16.656876,0.18488175,0.3086965,0.49970627
176,192.65555,16.675259,0.18444361,0.30916297,0.5002578
177,194.65785,16.69646,0.1840047,0.30981675,0.5008939
178,196.32854,16.716467,0.18363826,0.3104237,0.50149405
179,198.67111,16.747799,0.18312429,0.3108954,0.502434
180,200.68272,16.7776,0.18268295,0.31150818,0.5033281
181,202.69812,16.810186,0.18224083,0.3119926,0.50430566
